2026-02-02 19:55:08,016 | src.masks | DEBUG | Вызов get_mask_card_number
2026-02-02 19:55:08,016 | src.masks | DEBUG | Номер карты преобразован в строку: 1234567890123456
2026-02-02 19:55:08,016 | src.masks | INFO | Номер карты успешно замаскирован
2026-02-02 19:55:08,017 | src.masks | DEBUG | Вызов get_mask_account
2026-02-02 19:55:08,017 | src.masks | DEBUG | Номер счёта преобразован в строку: 73654108430135874305
2026-02-02 19:55:08,017 | src.masks | INFO | Номер счёта успешно замаскирован
2026-02-02 19:55:08,018 | src.masks | DEBUG | Вызов get_mask_card_number
2026-02-02 19:55:08,018 | src.masks | DEBUG | Номер карты преобразован в строку: 12345
2026-02-02 19:55:08,018 | src.masks | ERROR | Длина номера карты меньше 10 символов
2026-02-02 19:55:08,019 | src.masks | DEBUG | Вызов get_mask_card_number
2026-02-02 19:55:08,019 | src.masks | DEBUG | Номер карты преобразован в строку: 111
2026-02-02 19:55:08,019 | src.masks | ERROR | Длина номера карты меньше 10 символов
2026-02-02 19:55:08,020 | src.masks | DEBUG | Вызов get_mask_account
2026-02-02 19:55:08,020 | src.masks | DEBUG | Номер счёта преобразован в строку: 12
2026-02-02 19:55:08,020 | src.masks | ERROR | Длина номера счёта меньше 5 символов
2026-02-02 19:55:08,021 | src.masks | DEBUG | Вызов get_mask_account
2026-02-02 19:55:08,021 | src.masks | DEBUG | Номер счёта преобразован в строку: 1234
2026-02-02 19:55:08,021 | src.masks | ERROR | Длина номера счёта меньше 5 символов
2026-02-02 19:55:08,035 | src.masks | DEBUG | Вызов get_mask_card_number
2026-02-02 19:55:08,035 | src.masks | DEBUG | Номер карты преобразован в строку: 1234567890123456
2026-02-02 19:55:08,035 | src.masks | INFO | Номер карты успешно замаскирован
2026-02-02 19:55:08,036 | src.masks | DEBUG | Вызов get_mask_account
2026-02-02 19:55:08,036 | src.masks | DEBUG | Номер счёта преобразован в строку: 73654108430135874305
2026-02-02 19:55:08,036 | src.masks | INFO | Номер счёта успешно замаскирован
